gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000022548	10765.543498311381	1.0939161066595746	0.09085753260861307	1.030771694605935e-34	2.033918707796431e-30
ENSMUSG00000006014	631.5955445561661	1.4162758782531994	0.1217137885422779	9.679569433410913e-33	9.549863203003207e-29
ENSMUSG00000019997	536.5731250411192	1.2399373462094556	0.11002959052631667	9.967129350888601e-31	6.555713211724462e-27
ENSMUSG00000021186	722.6980831785204	1.238228853284609	0.12080700425897949	5.986276553694665e-26	2.9530302239375785e-22
ENSMUSG00000037254	456.89757473561826	1.0983811994349402	0.10807064502785946	1.1921259897681808e-25	4.704606006021149e-22
ENSMUSG00000097023	1435.9574218199937	0.9594064842126596	0.09792748357964239	1.8851608900703613e-24	6.1996657804780616e-21
ENSMUSG00000036151	122.60718041443099	-2.1734326957201957	0.23250244618974766	2.911839049342341e-23	8.20805830308901e-20
ENSMUSG00000045193	2343.0326474044628	1.1308340524600222	0.12071240520850535	3.1119848565997442e-22	7.67571064880327e-19
ENSMUSG00000018566	386.6372138214035	1.093926356341597	0.1221654042370724	1.2006847494802332e-20	2.6324346085271066e-17
ENSMUSG00000041559	1410.0481718829974	1.0120402247198317	0.11744124285356616	1.4663640538793498e-19	2.893429551114733e-16
ENSMUSG00000032705	2787.4236403010887	-0.7215414866897776	0.08588049728186095	1.9827907760735971e-19	3.556766144862202e-16
ENSMUSG00000004110	8651.499695119934	-0.7070651892221028	0.08488444049322852	3.787151983997168e-19	6.22734024568601e-16
ENSMUSG00000015090	46727.77835662669	0.8010062338259195	0.09624569595939717	4.173133370574518e-19	6.334174436013568e-16
ENSMUSG00000041120	2978.4896557264	0.8814226887865154	0.10795856676144833	2.4689672620568718e-18	3.4798330010647278e-15
ENSMUSG00000132973	300.0204069669437	-1.1917322012344502	0.1440575871845617	5.2790192754976805e-18	6.9443738896080156e-15
ENSMUSG00000020538	2324.7954014755105	0.5895322505952816	0.0741829329043275	1.5674035571232225e-17	1.933000436822214e-14
ENSMUSG00000032854	3486.505137409491	-1.1246210903188811	0.13893578571561632	1.96023065254521e-17	2.183159418078459e-14
ENSMUSG00000050211	479.68928380969396	1.317710510317207	0.16261217911729922	1.9915299779754846e-17	2.183159418078459e-14
ENSMUSG00000035929	182.50211506899723	1.2612615418282147	0.1564633119823899	2.981334572047227e-17	3.0961944092439944e-14
ENSMUSG00000060771	652.1345498669457	-0.8315203215386947	0.10648354704720914	3.192662255858851e-17	3.1498805816303425e-14
ENSMUSG00000043924	179.36051750916093	1.238255836115173	0.1550467156580602	5.4540524929385627e-17	5.124731609079225e-14
ENSMUSG00000043872	758.1858523062895	-0.9774574775822867	0.12506347833400017	8.198943194515691e-17	7.353706687008346e-14
ENSMUSG00000005057	240.1627481107431	1.1332367904172498	0.1434872551994823	9.557360065402351e-17	8.037398422299339e-14
ENSMUSG00000037362	700.751572563931	1.1391996308847734	0.1442573469107907	9.77587482947416e-17	8.037398422299339e-14
ENSMUSG00000000791	119.84480178774723	1.4759440148697138	0.18988901582681417	1.8911609363404008e-16	1.4926555038347514e-13
ENSMUSG00000030711	769.8892725697309	1.0604682243655883	0.1365685893463277	2.0119266481387858e-16	1.52689756234902e-13
ENSMUSG00000050503	184.76036009410262	-1.7838665290367384	0.2392217096369997	7.905370189830156e-16	5.777361651323282e-13
ENSMUSG00000024136	284.4843726015492	-1.3331791659258565	0.17665384927247557	1.4918316091808693e-15	1.0513150468698896e-12
ENSMUSG00000048424	596.4031646575888	0.8552148847039767	0.11692584084721233	1.6034439626865614e-15	1.087967107642108e-12
ENSMUSG00000085873	381.89560820908656	0.8382029229625412	0.11491385507601584	1.6980472825632518e-15	1.087967107642108e-12
ENSMUSG00000110125	121.71515162190548	1.6145731159739085	0.21737843783662264	1.7092530071409562e-15	1.087967107642108e-12
ENSMUSG00000048373	84.54527457898197	1.5555207818042505	0.20894020342878483	1.8107198714201042e-15	1.1165351407144219e-12
ENSMUSG00000015852	197.7544567802938	-1.3239712183521806	0.17752095849594948	2.931953310351208e-15	1.7531303854500013e-12
ENSMUSG00000048368	217.37606733717652	1.132102498628937	0.1523372758229444	3.2573499915655804e-15	1.8904126480462363e-12
ENSMUSG00000029657	5229.5814546058145	-0.8113812974083122	0.11442353554795932	6.663521638747965e-15	3.756703113593567e-12
ENSMUSG00000035711	177.1074242049947	-1.4898550256926124	0.20633584746356254	1.1414281052657244e-14	6.256294270306465e-12
ENSMUSG00000027274	669.0650698777933	-0.8824502784860734	0.12512413980612105	1.255113373975303e-14	6.6934857014272104e-12
ENSMUSG00000000805	4968.947202131107	-0.6856252426698318	0.09833599875612634	1.530858183328508e-14	7.745357352163621e-12
